COMUNA_OCURR,ESTABLECIMIENTO,vacunacion_ultimos_3_dias,vacunacion_ultimos_7_dias,vacunacion_ultimos_14_dias
La Florida,Centro de Salud Familiar Trinidad,0,57,419
La Florida,Centro de Salud Familiar Villa O'Higgins,0,71,709
La Florida,Clínica Bupa Santiago,0,24,108
La Florida,Clínica Vespucio,0,84,392
La Florida,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,0,0,0
La Granja,Centro de Salud Familiar Granja Sur,0,194,1134
La Granja,Centro de Salud Familiar La Granja,0,68,495
La Granja,Centro de Salud Familiar Malaquías Concha,0,59,533
La Granja,Centro de Salud Familiar Padre Esteban Gumucio Vives,0,157,757
La Pintana,Centro de Salud Familiar El Roble,0,63,1078
La Pintana,Centro de Salud Familiar Flor Fernández,0,26,447
La Pintana,Centro de Salud Familiar Juan Pablo II Red de Salud UC CHRISTUS,0,39,283
La Pintana,Centro de Salud Familiar Pablo de Rokha,0,64,652
La Pintana,Centro de Salud Familiar San Rafael,0,77,537
La Pintana,Centro de Salud Familiar Santiago de Nueva Extremadura,0,209,1115
La Pintana,Centro de Salud Familiar Santo Tomás,0,65,572
La Reina,Centro de Salud Familiar Juan Pablo II ( La Reina),0,95,649
La Reina,Centro de Salud Familiar Ossandon,0,204,1821
La Reina,Hospital Militar de Santiago,0,82,611
La Reina,Vacunatorio Darvax,0,78,387
Lampa,Centro de Salud Familiar Batuco,0,73,579
Lampa,Centro de Salud Familiar José Bauza Frau,0,163,1643
Lampa,Centro de Salud Familiar Juan Pablo II,0,116,492
Lampa,Posta de Salud Rural Juan Pablo II de Lampa,0,0,0
Las Condes,CENTRO DE VACUNACION INMUNOVAC,0,15,102
Las Condes,CENTRO MEDICO BALMORAL,0,1,3
Las Condes,Centro Médico Militar Rosa O'Higgins,0,17,401
Las Condes,Centro Médico y Dental Arauco Salud,0,20,89
Las Condes,Centro de Salud Familiar Aníbal Ariztía,0,256,2490
Las Condes,Centro de Salud Familiar Apoquindo,0,270,2040
Las Condes,Clínica Las Condes,0,195,800
Las Condes,Clínica San Carlos de Apoquindo Red de Salud UC CHRISTUS,0,57,264
Las Condes,Hospital Clínico Universidad de Los Andes,0,178,796
Las Condes,Hospital FACH,0,67,479
Las Condes,Nueva Clínica Cordillera,0,13,93
Las Condes,Vacunatorio Medicien Alto El Plomo,0,0,0
Lo Barnechea,Centro Dental REDSalud La Dehesa,0,0,0
Lo Barnechea,Centro Médico Clínica Alemana (La Dehesa),0,93,440
Lo Barnechea,Centro Médico Clínica Santa María La Dehesa,0,23,152
Lo Barnechea,Centro de Salud Familiar Lo Barnechea,0,232,1587
Lo Barnechea,Clínica MEDS La Dehesa,0,29,175
Lo Espejo,Centro de Salud Familiar Clara Estrella,0,86,548
Lo Espejo,Centro de Salud Familiar Dra. Mariela Salgado Zepeda,0,47,455
Lo Espejo,Centro de Salud Familiar Julio Acuña Pinzón,0,102,737
Lo Espejo,Centro de Salud Familiar Pueblo Lo Espejo,0,39,312
Lo Prado,Centro de Salud Familiar Dr. Carlos Avendaño,0,248,1462
Lo Prado,Centro de Salud Familiar Dr. Raúl Yazigi,0,120,712
Lo Prado,Centro de Salud Familiar Pablo Neruda,0,121,783
Lo Prado,Centro de Salud Familiar Santa Anita,0,82,906
Macul,Centro Médico San Joaquín Red de Salud UC CHRISTUS,0,98,552
Macul,Centro de Salud Familiar Félix de Amesti,0,140,912
Macul,Centro de Salud Familiar Padre Alberto Hurtado,0,242,993
Macul,Centro de Salud Familiar Santa Julia,0,156,2174
Maipú,Centro de Salud Familiar Clotario Blest,0,191,1683
Maipú,Centro de Salud Familiar Dr. Carlos Godoy,0,514,2651
Maipú,Centro de Salud Familiar Dr. Iván Insunza,0,302,1340
Maipú,Centro de Salud Familiar Dr. José Eduardo Ahués Salame,0,353,1978
Maipú,Centro de Salud Familiar Dr. Luis Ferrada,0,163,1111
Maipú,Centro de Salud Familiar Dra. Ana María Juricic,0,321,1937
Maipú,Centro de Salud Familiar Maipú,0,637,4352
Maipú,Centro de Salud Familiar Presidenta Michelle Bachelet,0,270,2337
Maipú,Clínica Indisa (Maipú),0,55,281
Maipú,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,0,13,113
Maipú,Vacunatorio INMUVAX,0,13,18
María Pinto,Centro de Salud Familiar Adriana Madrid De Costabal,0,56,364
Melipilla,Centro de Salud Familiar Alfarera Rosa Reyes Vilches,0,29,221
Melipilla,Centro de Salud Familiar Dr. Edelberto Elgueta,0,101,597
Melipilla,Centro de Salud Familiar Dr. Francisco Boris Soler,0,82,490
Melipilla,Centro de Salud Familiar Florencia,0,99,983
Melipilla,Centro de Salud Familiar San Manuel,0,35,234
Melipilla,Clínica Los Maitenes,0,4,124
Melipilla,Hospital San José (Melipilla),0,0,3
Melipilla,Posta de Salud Rural Bollenar,0,0,201
Melipilla,Posta de Salud Rural Pahuilmo,0,0,83
Melipilla,Posta de salud Rural Pabellón,0,16,37
Padre Hurtado,Centro de Salud Familiar Juan Pablo II ( Padre Hurtado),0,507,3310
Paine,Centro de Salud Familiar Dr. Miguel Ángel Solar (ex CESFAM Paine),0,65,1190
Paine,Centro de Salud Familiar Dr. Raúl Moya,0,30,413
Paine,Posta de Salud Rural Abrantes,0,0,85
Paine,Posta de Salud Rural Chada,0,0,74
Paine,Posta de Salud Rural Huelquén,0,20,279
Paine,Posta de Salud Rural Pintué,0,7,153
Paine,Posta de Salud Rural Rangue,0,0,47
Pedro Aguirre Cerda,Centro de Salud Familiar Amador Neghme,0,78,535
Pedro Aguirre Cerda,Centro de Salud Familiar Edgardo Enríquez Fröedden,0,57,570
Pedro Aguirre Cerda,Centro de Salud Familiar Lo Valledor Norte,0,145,976
Pedro Aguirre Cerda,Centro de Salud Familiar Padre Pierre Dubois (Ex La Feria),0,166,1374
Peñaflor,Centro de Salud Familiar Dr. Fernando Monckeberg,0,296,1127
Peñaflor,Centro de Salud Familiar Peñaflor,0,249,1354
Peñaflor,Hospital de Peñaflor,0,0,1
Peñalolén,CESFAM Las Torres,0,116,901
Peñalolén,Centro Médico Alto Tobalaba - Vacunatorio Vacci Protex,0,19,32
Peñalolén,Centro de Salud Familiar Cardenal Silva Henríquez,0,67,523
Peñalolén,Centro de Salud Familiar Carol Urzúa Ibáñez,0,347,1794
Peñalolén,Centro de Salud Familiar La Faena,0,245,1381
Peñalolén,Centro de Salud Familiar Lo Hermida,0,144,740
Peñalolén,Centro de Salud Familiar Padre Gerardo Whelan,0,150,1036
Peñalolén,Centro de Salud Familiar San Luis,0,157,905
Peñalolén,Clínica Las Condes Peñalolén,0,94,477
Peñalolén,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",0,1,2
Peñalolén,Instituto Nacional de Rehabilitación Infantil Presidente Pedro Aguirre Cerda,0,0,0
Pirque,Centro de Salud Familiar Dr. José Manuel Balmaceda,0,108,633
Pirque,Centro de Salud Rural El Principal,0,26,267
Providencia,Centro Atencion de Salud Mutual Providencia,0,0,0
Providencia,Centro Médico HTS SpA,0,33,137
Providencia,Centro de Salud Familiar Aguilucho,0,264,1488
Providencia,Centro de Salud Familiar Dr. Alfonso Leng,0,398,2466
Providencia,Centro de Salud Familiar Dr. Hernán Alessandri,0,309,1467
Providencia,Clínica Indisa,0,136,688
Providencia,Clínica Santa María,0,60,497
Providencia,Hospital Del Salvador de Santiago,0,0,6
Providencia,Hospital Metropolitano ( ex Militar ),0,2,21
Providencia,Hospital de Niños Dr. Luis Calvo Mackenna,0,0,17
Providencia,Instituto Nacional Geriátrico Presidente Eduardo Frei Montalva,0,0,0
Providencia,Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica,0,20,42
Providencia,Instituto de Neurocirugía Dr. Alfonso Asenjo,0,0,7
Providencia,VACUMED,0,15,48
Providencia,VAXPROSALUD,0,22,141
Providencia,Vacunatorio Clínica El Bosque,0,32,147
Providencia,Vacunatorio Internacional Immunitas SpA,0,21,77
Providencia,Vacunatorio Mediclown,0,28,100
Providencia,Vacunatorio RENVAC,0,16,77
Pudahuel,Centro Comunitario de Salud Familiar Concejal Guillermo Flores O.,0,5,48
Pudahuel,Centro Comunitario de Salud Familiar Mar Caribe,0,6,39
Pudahuel,Centro Comunitario de Salud Familiar Santa Corina,0,12,55
Pudahuel,Centro Medico y Dental Del Valle,0,0,9
Pudahuel,Centro de Referencia de Salud Salvador Allende,0,0,4
Pudahuel,Centro de Salud Familiar Cardenal Raúl Silva Henríquez,0,73,615
Pudahuel,Centro de Salud Familiar Dr. Gustavo Molina,0,163,1002
Pudahuel,Centro de Salud Familiar Pudahuel Estrella,0,278,1675
Pudahuel,Centro de Salud Familiar Pudahuel Poniente,0,203,1327
Pudahuel,Centro de Salud Familiar Violeta Parra,0,418,2062
Puente Alto,Centro de Referencia de Salud Hospital Provincia Cordillera,0,0,24
Puente Alto,Centro de Salud Familiar Bernardo Leighton,0,135,953
Puente Alto,Centro de Salud Familiar Cardenal Silva Henríquez,0,102,759
Puente Alto,Centro de Salud Familiar Dr. Alejandro del Río,0,259,4852
Puente Alto,Centro de Salud Familiar Karol Wojtyla,0,77,912
Puente Alto,Centro de Salud Familiar Laurita Vicuña,0,197,1590
Puente Alto,Centro de Salud Familiar Madre Teresa de Calcuta Red de Salud UC CHRISTUS,0,38,313
Puente Alto,Centro de Salud Familiar Padre Manuel Villaseca,0,242,2797
Puente Alto,Centro de Salud Familiar San Alberto Hurtado Red de Salud UC CHRISTUS,0,36,314
Puente Alto,Centro de Salud Familiar San Gerónimo,0,155,1196
Puente Alto,Centro de Salud Familiar Vista Hermosa,0,60,934
Puente Alto,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",0,1,127
Quilicura,CESFAM Marta Ugarte Román,0,173,1257
Quilicura,Centro de Salud Familiar Irene Frei de Cid,0,334,1476
Quilicura,Centro de Salud Familiar Manuel Bustos Huerta,0,469,1191
Quilicura,Centro de Salud Familiar Presidente Salvador Allende Gossens,0,661,2645
Quinta Normal,Centro de Salud Familiar Andes,0,167,844
Quinta Normal,Centro de Salud Familiar Garín,0,67,1098
Quinta Normal,Centro de Salud Familiar Lo Franco,0,150,862
Quinta Normal,"Hospital Dr. Félix Bulnes Cerda (Santiago, Quinta Normal)",0,20,92
Recoleta,Centro de Salud Familiar Cristo Vive (ONG),0,132,752
Recoleta,Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),0,54,494
Recoleta,Centro de Salud Familiar Quinta Bella,0,126,903
Recoleta,Centro de Salud Familiar Recoleta,0,156,1443
Recoleta,Centro de Salud Familiar Valdivieso,0,135,746
Recoleta,Clínica Dávila,0,73,419
Recoleta,SAR Recoleta,0,0,3
Renca,Centro de Salud Familiar Bicentenario,0,356,1861
Renca,Centro de Salud Familiar Dr. Hernán Urzúa Merino,0,470,1955
Renca,Centro de Salud Familiar Huamachuco,0,143,1067
Renca,Centro de Salud Familiar Renca,0,396,2363
San Bernardo,Centro Comunitario de Salud Familiar Las Hortensias,0,0,42
San Bernardo,Centro Comunitario de Salud Familiar Rapa Nui,0,0,106
San Bernardo,Centro Comunitario de Salud Familiar Ribera del Maipo,0,0,0
San Bernardo,Centro de Salud Familiar Carol Urzúa,0,82,1487
San Bernardo,Centro de Salud Familiar Confraternidad,0,67,740
San Bernardo,Centro de Salud Familiar El Manzano,0,30,790
San Bernardo,Centro de Salud Familiar Juan Pablo II ( San Bernardo),0,46,712
San Bernardo,Centro de Salud Familiar Padre Joan Alsina,0,222,1636
San Bernardo,Centro de Salud Familiar Raúl Brañes F.,0,118,749
San Bernardo,Centro de Salud Familiar Raúl Cuevas (Ex-San Bernardo),0,44,1466
San Bernardo,"Hospital El Pino (Santiago, San Bernardo)",0,0,0
San Bernardo,Hospital Parroquial de San Bernardo (D),0,0,0
San Joaquín,Centro de Salud Familiar Arturo Baeza Goñi,0,107,666
San Joaquín,Centro de Salud Familiar San Joaquín,0,173,1388
San Joaquín,Centro de Salud Familiar Santa Teresa de Los Andes,0,312,1478
San José de Maipo,Hospital San José de Maipo,0,82,359
San José de Maipo,Posta de Salud Rural Las Vertientes,0,41,527
San Miguel,Centro de Salud Familiar Barros Luco,0,119,2443
San Miguel,Centro de Salud Familiar Recreo,0,131,2440
San Miguel,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",0,1,58
San Miguel,"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)",0,3,70
San Miguel,"Hospital de Enfermedades Infecciosas Dr. Lucio Córdova (Santiago, San Miguel)",0,11,56
San Pedro,Centro de Salud Familiar San Pedro,0,63,375
San Ramón,Centro de Salud Familiar Dr. Salvador Allende (Ex Consultorio San Ramón),0,377,1304
San Ramón,Centro de Salud Familiar La Bandera,0,107,1041
San Ramón,Centro de Salud Familiar Poetisa Gabriela Mistral,0,219,1646
San Ramón,Hospital Padre Alberto Hurtado (San Ramón),0,2,46
Santiago,Centro Médico Vida Integra Alameda,0,0,0
Santiago,Centro Médico y Dental Fundación Asistencial Trabajadores Del Banco del Estado de Chile,0,24,185
Santiago,Centro Médico y Dental Megasalud Alameda,0,19,90
Santiago,Centro de Salud Familiar Arauco,0,182,1073
Santiago,Centro de Salud Familiar Ignacio Domeyko,0,353,3669
Santiago,Centro de Salud Familiar Matta Sur,0,206,1547
Santiago,Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo,0,1102,3533
Santiago,Centro de Salud Familiar Nº 5,0,335,1260
Santiago,Centro de Salud Familiar Padre Orellana,0,244,2337
Santiago,Clínica Juan Pablo II,0,3,17
Santiago,Hospital Clínico Instituto de Seguridad del Trabajo de Santiago,0,3,6
Santiago,Hospital Clínico Red de Salud UC CHRISTUS,0,0,285
Santiago,Hospital Clínico San Borja Arriarán,0,151,808
Santiago,"Hospital San Juan de Dios (Santiago, Santiago)",0,90,714
Santiago,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,0,4,6
Santiago,Instituto Traumatológico Dr. Teodoro Gebauer,0,1,3
Santiago,Punto de vacunacion Minsal,0,0,676
Santiago,Vacunatorio Marcoleta de la Pontificia Universidad Católica de Chile,0,86,571
Talagante,Centro de Salud Familiar Dr. Alberto Allende Jones,0,298,1998
Talagante,Hospital Adalberto Steeger (Talagante),0,5,54
Talagante,Posta de Salud Rural Aliro Cárcarmo (Lonquén),0,8,65
Talagante,Vacunatorio NEWVAX,0,16,87
Tiltil,Centro de Salud Familiar Huertos Familiares,0,14,108
Tiltil,Hospital de Til Til,0,74,388
Tiltil,Posta de Salud Rural La Capilla de Caleu,0,0,0
Tiltil,Posta de Salud Rural Montenegro,0,0,0
Tiltil,Posta de Salud Rural Polpaico,0,10,66
Vitacura,Centro de Salud Familiar Vitacura,0,270,1749
Vitacura,Clínica Alemana,0,172,905
Vitacura,Clínica Tabancura,0,47,322
Vitacura,Procedimientos Clínicos Alto Tabancura,0,25,39
Ñuñoa,Centro de Salud Familiar Rosita Renard,0,321,901
Ñuñoa,Centro de Salud Familiar Salvador Bustos,0,915,5309
Ñuñoa,Hospital Carabineros,0,110,1075
Ñuñoa,Vacunatorio Varik,0,7,10
